epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.177,1.55522,2.569,1.03702,0.98809,0.03509,0.10527,0.07208,1.41076,3.22454,0.91034,0.00034296,0.00034296,0.00034296
2,308.9,1.54873,1.43247,1.03145,0.62837,0.27992,0.31469,0.18129,1.43166,2.61169,0.95899,0.000686346,0.000686346,0.000686346
3,498.452,1.47465,1.26409,1.0318,0.96408,0.16504,0.35981,0.19431,1.48323,2.21837,1.00208,0.00101558,0.00101558,0.00101558
4,663.244,1.48091,1.21983,1.04563,0.8357,0.25312,0.36487,0.21074,1.47183,1.77376,0.97333,0.00133068,0.00133068,0.00133068
